Technology,Range,Frequency,Data Rate,Power Use,Cost
Bluetooth 2.0,~100m,2.4 GHz,1-3 Mbit/s,Medium,Low
WiFi 802.11g,~100m,2.4 GHz,54 Mbit/s,High,Medium
